Name of Restaurent ,Type of Cusine,Rating,Total No of Ratings,Cost,Landmark,Opening time,Current Status,Dine in availability,Takeaway type,Delivery availability,Location and Address,Description of the Restaurent,Restaurent Name,Rating,number-of-reviews,veg /Non- Veg
Vancouver Restaurant Brokerage,No reviews Business broker,,,,"Burnaby, BC, Canada",8:30AM,Closed,,,,,,Vancouver Restaurant Brokerage,,,Non-Veg
Sutton Place Hotel Vancouver,Hotel,4.3,"1,804",,"Vancouver, BC, Canada",,,,,,,"Posh hotel in a high-rise offering luxe rooms & suites, a wine boutique, spa & high-end dining.",Sutton Place Hotel Vancouver,4.3,(1804),Non-Veg
Pierre's Champagne Lounge,Lounge,3.6,85,,"Vancouver, BC, Canada",9PM,Closed,,,,,,Pierre's Champagne Lounge,3.6,(85),Non-Veg
Pan Pacific Vancouver,Hotel,4.4,"3,292",,"Vancouver, BC, Canada",,,,,,,"Contemporary hotel with panoramic views, plus elegant rooms, an outdoor pool & high-end dining.",Pan Pacific Vancouver,4.4,(3292),Non-Veg
Lupin's Cafe,Restaurant,2.7,44,,"North Vancouver, BC, Canada",11AM,Closed,,,,,,Lupin's Cafe,2.7,(44),Non-Veg
West Vancouver Centennial Seawalk,Hiking area,4.8,84,,"West Vancouver, BC, Canada",,,,,,,,West Vancouver Centennial Seawalk,4.8,(84),Non-Veg
The Trump Champagne Lounge,Lounge,3.4,126,,"Vancouver, BC, Canada",,Temporarily closed,,,,,"High-end hotel lounge & bar serving champagne vintages, cocktails, fresh seafood & crudo.",The Trump Champagne Lounge,3.4,(126),Non-Veg
33 Acres Brewing Company,Brewery,4.5,752,,"Vancouver, BC, Canada",12PM,Closed,,,,,"House-brewed craft beer & cafe fare offered in a cool, minimalist space with rustic accents.",33 Acres Brewing Company,4.5,(752),Non-Veg
Pacific Coffee Roasters - Cafe,Cafe,4.5,117,,"Vancouver, BC, Canada",9AM,Closed,,,,,,Pacific Coffee Roasters - Cafe,4.5,(117),Non-Veg
49th Parallel Caf‚ & Lucky's Doughnuts - MAIN,Coffee shop,4.5,"2,081",Average Cost,,7AM,Closed,,,,"Vancouver, BC, Canada","Cozy hangout with a patio serving house-roasted coffee, espresso & freshly baked pastries.",49th Parallel Caf‚ & Lucky's Doughnuts - MAIN,4.5,(2081),Non-Veg
La Casa Gelato,Ice Cream,4.5,"2,786",Average Cost,,2PM,Closed,,,,"Vancouver, BC, Canada","Legendary gelateria scoops dozens of varieties, ranging from classics to modern creations.",La Casa Gelato,4.5,(2786),Non-Veg
Vancouver Convention Centre,Convention center,4.5,"1,672",,"Vancouver, BC, Canada",,,,,,,Big harbourfront venue with indoor & outdoor space for events ranging from trade shows to concerts.,Vancouver Convention Centre,4.5,(1672),Non-Veg
Hyatt Regency Vancouver,Hotel,4.4,"3,078",,"Vancouver, BC, Canada",,,,,,,"Upscale hotel with a refined restaurant & a trendy bar, plus an outdoor pool & a fitness centre.",Hyatt Regency Vancouver,4.4,(3078),Non-Veg
Sheraton Vancouver Wall Centre,Hotel,4.4,"3,803",,"Vancouver, BC, Canada",,,,,,,Relaxed quarters with city views in an upmarket lodging offering an indoor pool & a chic restaurant.,Sheraton Vancouver Wall Centre,4.4,(3803),Non-Veg
The University of British Columbia,University,4.5,"1,009",,"Vancouver, BC, Canada",,,,,,,Sprawling public research university known for its anthropology museum & arts & sciences programs.,The University of British Columbia,4.5,(1009),Non-Veg
The Burrard,Hotel,4.4,501,,"Vancouver, BC, Canada",,,,,,,"Trendy hotel with a tropical courtyard & coffee shop offers retro-chic rooms, plus guest bicycles.",The Burrard,4.4,(501),Non-Veg
CF Pacific Centre,Shopping mall,4.2,"7,412",,"Vancouver, BC, Canada",11AM,Closed,,,,,"Upscale mall since 1971 with premium retailers, designer brands, a food court & underground parking.",CF Pacific Centre,4.2,(7412),Non-Veg
Trump International Hotel & Tower Vancouver,Hotel,3.9,"1,178",,"Vancouver, BC, Canada",,,,,,,"Posh hotel featuring high-end rooms & suites, a chic Chinese restaurant & a spa, plus a gym.",Trump International Hotel & Tower Vancouver,3.9,(1178),Non-Veg
Glo Restaurant + Lounge,Restaurant,4.3,"1,400",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Victoria, BC, Canada",Elevated global fare & cocktails are the draw at this chic outpost with patio seating & water views.,Glo Restaurant + Lounge,4.3,(1400),Non-Veg
Hilton Vancouver Airport,Hotel,4.2,725,,"Richmond, BC, Canada",,,,,,,"Modern hotel with on-site dining & a rooftop pool, plus free WiFi & a complimentary airport shuttle.",Hilton Vancouver Airport,4.2,(725),Non-Veg
Shangri-La Hotel Vancouver Drive way,No reviews Hotel,,,,"Vancouver, BC, Canada",,,,,,,,Shangri-La Hotel Vancouver Drive way,,,Non-Veg
Hilton Vancouver Metrotown,Hotel,4.2,"1,518",,"Burnaby, BC, Canada",,,,,,,"Modern hotel with a heated rooftop pool & hot tub, plus free WiFi & a 24/7 business center.",Hilton Vancouver Metrotown,4.2,(1518),Non-Veg
Vancouver International Airport,Airport,4.2,"4,148",,"Richmond, BC, Canada",,,,,,,,Vancouver International Airport,4.2,(4148),Non-Veg
Radisson Hotel Vancouver Airport,Hotel,4.0,841,,"Richmond, BC, Canada",,,,,,,"Polished hotel with free Wi-Fi & an airport shuttle, plus a regional restaurant & an indoor pool.",Radisson Hotel Vancouver Airport,4.0,(841),Non-Veg
Sequoia Company of Restaurants,Corporate office,2.1,11,,"Vancouver, BC, Canada",9AM,Closed,,,,,,Sequoia Company of Restaurants,2.1,(11),Non-Veg
